index	last	lastpar	kind	paranum	varsize	t_varnum	
0	92	0	ints	0	23	0	
1	20	19	ints	1	1	6	
2	0	0	ints	0	0	2	
3	23	23	chars	1	0	0	
4	0	0	chars	0	0	1	
5	27	0	notyp	0	2	19	
6	32	0	notyp	0	5	15	
7	0	0	notyp	0	0	1	
8	37	0	notyp	0	3	9	
9	45	0	notyp	0	7	46	
10	48	0	notyp	0	2	14	
11	52	0	notyp	0	3	12	
12	58	0	notyp	0	5	17	
13	61	0	notyp	0	2	5	
14	63	0	notyp	0	1	15	
15	70	0	notyp	0	6	5	
16	0	0	notyp	0	0	2	
17	73	0	notyp	0	1	2	
18	81	81	notyp	7	0	7	
19	84	84	ints	2	0	1	
20	87	87	chars	2	0	1	
21	90	90	notyp	2	0	1	
22	0	0	notyp	0	0	3	
23	93	0	notyp	0	1	1	
